"Pos","PIC","No.","Name","Class","Laps","Total Tm","Diff","Gap","Points"
"1","1","69","Adam Smith","GT","10","16:07.995","","","100"
"2","1","111","Doug Schuler","Super Touring 3","10","16:53.236","45.241","45.241","100"
"3","1","96","Benjamin Councill","Corvette Cup","10","17:06.970","58.975","13.734","100"
"4","1","74","Brad Kettler","Super Touring 4","10","17:10.565","1:02.570","3.595","100"
"5","2","95","Brian Weldon","Super Touring 3","10","17:14.998","1:07.003","4.433","90"
"6","2","66","Grant Lipsky","Super Touring 4","10","17:25.210","1:17.215","10.212","90"
"7","3","14","Steven McCann","Super Touring 3","10","17:41.609","1:33.614","16.399","85"
"8","4","21","Alex Nelsen","Super Touring 3","10","17:42.753","1:34.758","1.144","80"
"9","3","39","Kevin Conners","Super Touring 4","10","17:43.869","1:35.874","1.116","85"
"10","5","08","Dana Boote","Super Touring 3","10","17:52.183","1:44.188","8.314","75"
"11","6","23","Phillip Isabel","Super Touring 3","10","17:52.677","1:44.682","0.494","70"
"12","1","11","Matthew Kasuda","CMC","9","16:14.834","1 Lap","1 Lap","100"
"13","2","67","Peter Standiford","CMC","9","16:16.587","1 Lap","1.753","90"
"14","3","615","Lucas Wallace","CMC","9","16:19.529","1 Lap","2.942","85"
"15","4","26","Randy Weakly","CMC","9","16:26.269","1 Lap","6.740","80"
"16","5","77","Randy English","CMC","9","16:30.617","1 Lap","4.348","75"
