"Pos","No.","Name","Class","Best Tm","In Lap","Diff","Gap","Points","2nd Best","Make/Model","Color","Sponsor"
"1","43","Tim Roberts","TT5","2:01.639","1","","","0","2:01.691","BMW 330i","Black","Magpul Industries"
"2","387","Enrique Martinez","TT4","2:03.263","1","1.624","1.624","0","2:04.615","BMW M3","Black","SOCO Motorsports"
"3","303","Ken Nissen","TT4","2:03.789","3","2.150","0.526","0","2:03.908","BMW M3","Black",""
"4","222","Adam Pridgen","TT4","2:03.802","2","2.163","0.013","0","2:04.714","BMW M3","White","AYRD"
"5","65","Team Half Ass Racing","TT4","2:04.265","2","2.626","0.463","0","2:04.806","Honda Accord","Red/White/Black","Bro"
"6","137","Patrick Mizenko","TTGT","2:05.602","3","3.963","1.337","0","2:06.171","Scion FR-S","Gray","Help Factory LLC"
"7","78","Matt Johnson","TT4","2:06.488","5","4.849","0.886","0","2:06.612","BMW 325iT","Silver",""
"8","131","Jeff Grant","TT5","2:08.648","1","7.009","2.160","0","2:08.912","BMW 330i","Silver",""
"9","14","Abe Mostafa","TT5","2:10.437","1","8.798","1.789","0","2:12.007","Honda  S2000","Silver",""
"10","79","Mike Martinez","TT5","2:16.214","2","14.575","5.777","0","2:17.675","BMW 325i","Red","My Wife"
