"race grid"

"Grid Position","Wave","Car Number","Driver","Class","Best Time"

"WAVE 1 - FLYING START"

"1","1","56","Dan Goodman","GTS3","1:56.320"
"2","1","87","Justin Wilson","GTS3","2:02.559"
"3","1","316","Steve Dunn","GTS3","1:55.644"
"4","1","36","Daniel Williams","GTS3","1:57.153"
"5","1","1","Sean Soulvie","GTS4","1:58.652"
"6","1","95","Brian Weldon","GTS4","2:05.802"
"7","1","5","John Sellinger","GT","1:49.279"
"8","1","63","Joe Bogetich","GT","2:08.266"
"9","1","15","Jason Perry","Super Touring 1","1:58.728"
"10","1","11","Sean Butterfield","Super Touring 1","1:58.758"
"11","1","68","Donnie Kundel","Super Touring 1","1:59.166"
"12","1","19","Jorge Guerra","Super Touring 3","2:01.736"
"13","1","23","Phillip Isabel","Super Touring 3","2:01.483"

"WAVE 2 - STANDING START"

"14","2","11","Matthew Kasuda","CMC","2:07.226"
"15","2","67","Peter Standiford","CMC","2:06.532"
"16","2","77","Randy English","CMC","2:15.914"

"Generated: 8/9/2025, 5:18:04 PM"
